Timestamp,Sign,MBTI,House,Enneagram,Do you know your wing?,Wing,accuracy.astro,accuracy.mbti,accuracy.house,accuracy.enneagram
8/2/2017 11:51,Leo,ENFP,Gryffindor,Type 2 (the Helper or Giver),Nope (that's fine),,1,4,2,3
8/2/2017 11:52,Libra,ENFP,Hufflepuff,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,1,3,5,5
8/2/2017 11:54,Libra,ENFJ,Gryffindor,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,1,5,4,3
8/2/2017 11:55,Pisces,ENTP,Ravenclaw,Type 8 (the Protector or Challenger),Yes! (you'll be taken to an additional section),8w7 (the Independent),3,4,3,4
8/2/2017 11:55,Sagittarius,INFP,Hufflepuff,Type 4 (the Individualist or Romantic),Nope (that's fine),,2,3,3,4
8/2/2017 11:57,Pisces,ISTJ,Gryffindor,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),1,4,1,4
8/2/2017 12:03,Sagittarius,INFJ,Ravenclaw,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w1 (the Servant),4,5,3,5
8/2/2017 12:03,Sagittarius,ENFP,Hufflepuff,Type 3 (the Performer or Achiever),Yes! (you'll be taken to an additional section),3w2 (the Charmer),1,3,3,4
8/2/2017 12:08,Capricorn,INFP,Hufflepuff,Type 4 (the Individualist or Romantic),Nope (that's fine),,1,4,3,4
8/2/2017 12:09,Virgo,INFJ,Hufflepuff,Type 4 (the Individualist or Romantic),Nope (that's fine),,1,5,2,4
8/2/2017 12:11,Leo,INFJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Yes! (you'll be taken to an additional section),6w5 (the Defender),1,3,4,5
8/2/2017 12:12,Sagittarius,ISTJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,1,4,5,3
8/2/2017 12:13,Virgo,ENFJ,Hufflepuff,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),1,4,4,3
8/2/2017 12:15,Virgo,INTJ,Ravenclaw,Type 1 (the Reformer or Perfectionist),Nope (that's fine),,1,5,3,3
8/2/2017 12:16,Scorpio,INFJ,Slytherin,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),1,3,5,5
8/2/2017 12:19,Taurus,INTP,Gryffindor,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w4 (the Iconoclast),2,4,1,4
8/2/2017 12:19,Taurus,INTJ,Gryffindor,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,1,3,5,1
8/2/2017 12:21,Libra,INFJ,Ravenclaw,Type 5 (the Investigator or Observer),Nope (that's fine),,1,5,4,4
8/2/2017 12:23,Sagittarius,ENFP,Gryffindor,Type 7 (the Enthusiast or Epicure),Yes! (you'll be taken to an additional section),7w6 (the Entertainer),1,5,5,5
8/2/2017 12:24,Scorpio,INTJ,Slytherin,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w9 (the Idealist),3,4,4,2
8/2/2017 12:25,Leo,INFJ,Gryffindor,Type 5 (the Investigator or Observer),Nope (that's fine),,1,4,4,2
8/2/2017 12:25,Scorpio,ISTP,Ravenclaw,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w4 (the Iconoclast),1,3,3,4
8/2/2017 12:27,Pisces,INTJ,Slytherin,Type 6 (the Loyalist or Loyal Skeptic),Yes! (you'll be taken to an additional section),6w5 (the Defender),2,4,4,3
8/2/2017 12:28,Sagittarius,INFP,Ravenclaw,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,1,4,4,3
8/2/2017 12:29,Capricorn,INFP,Hufflepuff,Type 4 (the Individualist or Romantic),Nope (that's fine),,2,3,4,4
8/2/2017 12:29,Taurus,ENFJ,Hufflepuff,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),1,3,3,5
8/2/2017 12:33,Taurus,ENFJ,Hufflepuff,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),2,4,3,5
8/2/2017 12:37,Aquarius,INFJ,Ravenclaw,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w3 (the Aristocrat),2,4,4,5
8/2/2017 12:40,Aquarius,INFP,Hufflepuff,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w1 (the Servant),2,2,3,5
8/2/2017 12:40,Libra,ENFP,Ravenclaw,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,2,4,4,3
8/2/2017 12:41,Capricorn,INTJ,Hufflepuff,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,1,3,3,4
8/2/2017 12:48,Cancer,INFP,Slytherin,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,2,3,5,2
8/2/2017 12:49,Sagittarius,INTJ,Ravenclaw,Type 5 (the Investigator or Observer),Nope (that's fine),,4,5,3,4
8/2/2017 12:50,Scorpio,INFJ,Ravenclaw,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),4,5,4,3
8/2/2017 12:53,Pisces,INFP,Hufflepuff,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,2,4,2,1
8/2/2017 13:04,Libra,ESFP,Hufflepuff,Type 7 (the Enthusiast or Epicure),Yes! (you'll be taken to an additional section),7w6 (the Entertainer),3,4,4,4
8/2/2017 13:13,Gemini,ENFJ,Gryffindor,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w1 (the Servant),4,5,5,5
8/2/2017 13:13,Leo,ENFP,Gryffindor,Type 8 (the Protector or Challenger),Yes! (you'll be taken to an additional section),8w7 (the Independent),5,3,4,5
8/2/2017 13:13,Sagittarius,ENFP,Ravenclaw,Type 5 (the Investigator or Observer),Nope (that's fine),,3,4,5,3
8/2/2017 13:20,Aquarius,INFJ,Slytherin,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,2,5,1,1
8/2/2017 13:21,Capricorn,ISFJ,Slytherin,Type 2 (the Helper or Giver),Nope (that's fine),,5,4,5,3
8/2/2017 13:22,Scorpio,ENFJ,Slytherin,Type 8 (the Protector or Challenger),Yes! (you'll be taken to an additional section),8w7 (the Independent),4,4,5,5
8/2/2017 13:23,Aquarius,INFJ,Gryffindor,Type 2 (the Helper or Giver),Nope (that's fine),,2,5,5,3
8/2/2017 13:25,Scorpio,ENFJ,Hufflepuff,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w1 (the Servant),1,5,4,4
8/2/2017 13:28,Capricorn,ESFJ,Hufflepuff,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),4,5,5,5
8/2/2017 13:36,Libra,INFJ,Gryffindor,Type 4 (the Individualist or Romantic),Nope (that's fine),,3,4,5,4
8/2/2017 13:37,Aquarius,ENFP,Hufflepuff,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),3,4,3,1
8/2/2017 13:39,Aries,INFJ,Gryffindor,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),1,2,5,5
8/2/2017 13:39,Aries,INFJ,Hufflepuff,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w1 (the Servant),5,5,3,3
8/2/2017 13:44,Pisces,INFP,Gryffindor,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w5 (the Bohemian),3,4,5,4
8/2/2017 13:44,Taurus,ISTJ,Ravenclaw,Type 6 (the Loyalist or Loyal Skeptic),Yes! (you'll be taken to an additional section),6w5 (the Defender),1,4,2,3
8/2/2017 13:48,Cancer,INFJ,Ravenclaw,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,1,4,3,4
8/2/2017 13:48,Sagittarius,ISTJ,Ravenclaw,Type 2 (the Helper or Giver),Nope (that's fine),,1,4,3,3
8/2/2017 13:51,Leo,INFJ,Ravenclaw,Type 4 (the Individualist or Romantic),Nope (that's fine),,3,5,4,3
8/2/2017 13:52,Virgo,ENFP,Ravenclaw,Type 4 (the Individualist or Romantic),Nope (that's fine),,2,4,4,4
8/2/2017 13:55,Scorpio,INFJ,Hufflepuff,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w3 (the Aristocrat),2,5,3,4
8/2/2017 13:59,Aries,INFJ,Hufflepuff,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w6 (the Problem-Solver),1,4,4,2
8/2/2017 13:59,Aquarius,ESFJ,Slytherin,Type 2 (the Helper or Giver),Nope (that's fine),,1,4,3,2
8/2/2017 14:01,Capricorn,INTJ,Ravenclaw,Type 5 (the Investigator or Observer),Nope (that's fine),,1,4,1,4
8/2/2017 14:04,Cancer,INTP,Ravenclaw,Type 5 (the Investigator or Observer),Nope (that's fine),,1,5,5,4
8/2/2017 14:05,Aquarius,INTJ,Slytherin,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),2,4,2,3
8/2/2017 14:06,Libra,INFJ,Hufflepuff,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w4 (the Iconoclast),5,4,4,4
8/2/2017 14:06,Leo,INFJ,Hufflepuff,Type 2 (the Helper or Giver),Nope (that's fine),,1,4,3,5
8/2/2017 14:08,Aquarius,INFJ,Ravenclaw,Type 2 (the Helper or Giver),Nope (that's fine),,3,5,5,4
8/2/2017 14:09,Gemini,INFJ,Ravenclaw,Type 1 (the Reformer or Perfectionist),Nope (that's fine),,5,5,5,5
8/2/2017 14:10,Capricorn,ENFJ,Hufflepuff,Type 1 (the Reformer or Perfectionist),Nope (that's fine),,1,4,4,3
8/2/2017 14:13,Aquarius,ISTJ,Ravenclaw,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),1,4,4,3
8/2/2017 14:14,Aries,INFJ,Ravenclaw,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),2,3,3,4
8/2/2017 14:17,Libra,INFJ,Hufflepuff,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w4 (the Iconoclast),3,5,3,5
8/2/2017 14:17,Capricorn,ENFJ,Gryffindor,Type 2 (the Helper or Giver),Nope (that's fine),,1,4,4,2
8/2/2017 14:18,Libra,INFP,Ravenclaw,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),1,4,3,4
8/2/2017 14:18,Scorpio,ENFJ,Hufflepuff,Type 2 (the Helper or Giver),Nope (that's fine),,3,4,2,3
8/2/2017 14:19,Libra,ISFP,Ravenclaw,Type 4 (the Individualist or Romantic),Nope (that's fine),,4,3,5,4
8/2/2017 14:23,Gemini,ESTP,Slytherin,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),1,4,3,3
8/2/2017 14:24,Virgo,ENFP,Ravenclaw,Type 6 (the Loyalist or Loyal Skeptic),Yes! (you'll be taken to an additional section),6w7 (the Buddy),4,3,3,3
8/2/2017 14:26,Taurus,INFJ,Hufflepuff,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,1,4,5,4
8/2/2017 14:26,Capricorn,INFP,Ravenclaw,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,3,5,3,4
8/2/2017 14:26,Cancer,INFJ,Ravenclaw,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),2,3,4,3
8/2/2017 14:28,Taurus,INTJ,Slytherin,Type 5 (the Investigator or Observer),Nope (that's fine),,1,3,3,2
8/2/2017 14:31,Gemini,INFJ,Ravenclaw,Type 2 (the Helper or Giver),Nope (that's fine),,5,4,3,5
8/2/2017 14:31,Pisces,ISFJ,Hufflepuff,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,2,4,3,3
8/2/2017 14:32,Pisces,ENTJ,Gryffindor,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w9 (the Idealist),1,2,3,3
8/2/2017 14:33,Aries,INFP,Hufflepuff,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w1 (the Servant),2,4,3,4
8/2/2017 14:34,Sagittarius,ISFJ,Ravenclaw,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),1,4,3,5
8/2/2017 14:36,Libra,ENTJ,Gryffindor,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),3,4,3,4
8/2/2017 14:39,Gemini,INFJ,Ravenclaw,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w8 (the Referee),1,4,4,5
8/2/2017 14:39,Leo,INTJ,Ravenclaw,Type 5 (the Investigator or Observer),Nope (that's fine),,1,3,4,1
8/2/2017 14:44,Cancer,ENFP,Gryffindor,Type 7 (the Enthusiast or Epicure),Nope (that's fine),,2,4,4,5
8/2/2017 14:45,Taurus,INFJ,Ravenclaw,Type 2 (the Helper or Giver),Nope (that's fine),,5,5,4,3
8/2/2017 14:45,Scorpio,INFJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Yes! (you'll be taken to an additional section),6w5 (the Defender),3,3,4,5
8/2/2017 14:46,Taurus,INFJ,Ravenclaw,Type 2 (the Helper or Giver),Nope (that's fine),,5,5,4,3
8/2/2017 14:49,Pisces,INFJ,Ravenclaw,Type 2 (the Helper or Giver),Nope (that's fine),,4,5,5,3
8/2/2017 14:50,Virgo,ESFJ,Gryffindor,Type 8 (the Protector or Challenger),Yes! (you'll be taken to an additional section),8w7 (the Independent),1,4,1,4
8/2/2017 14:52,Sagittarius,INFP,Ravenclaw,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,3,5,5,1
8/2/2017 14:53,Scorpio,INFP,Gryffindor,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w5 (the Bohemian),3,4,3,5
8/2/2017 14:57,Libra,ENFJ,Hufflepuff,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),4,5,3,5
8/2/2017 15:04,Cancer,INFJ,Hufflepuff,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,4,5,5,3
8/2/2017 15:06,Pisces,ENFP,Hufflepuff,Type 7 (the Enthusiast or Epicure),Nope (that's fine),,2,4,3,3
8/2/2017 15:07,Gemini,INFJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,3,5,1,4
8/2/2017 15:12,Gemini,INTJ,Gryffindor,Type 5 (the Investigator or Observer),Nope (that's fine),,1,4,3,4
8/2/2017 15:15,Libra,INFP,Gryffindor,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),1,4,4,4
8/2/2017 15:15,Aquarius,ISFJ,Ravenclaw,Type 2 (the Helper or Giver),Nope (that's fine),,1,4,5,3
8/2/2017 15:18,Libra,ESTJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,4,5,4,3
8/2/2017 15:20,Cancer,ENFJ,Hufflepuff,Type 3 (the Performer or Achiever),Yes! (you'll be taken to an additional section),3w2 (the Charmer),3,5,4,4
8/2/2017 15:20,Cancer,INFJ,Hufflepuff,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),1,5,5,5
8/2/2017 15:23,Gemini,INFP,Hufflepuff,Type 2 (the Helper or Giver),Nope (that's fine),,3,4,1,3
8/2/2017 15:23,Capricorn,INTP,Ravenclaw,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w4 (the Iconoclast),1,2,4,3
8/2/2017 15:31,Aquarius,ENFJ,Ravenclaw,Type 5 (the Investigator or Observer),Nope (that's fine),,4,4,4,4
8/2/2017 15:34,Libra,INTJ,Ravenclaw,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w6 (the Problem-Solver),1,3,3,3
8/2/2017 15:36,Taurus,ISFJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Yes! (you'll be taken to an additional section),6w5 (the Defender),1,4,4,4
8/2/2017 15:37,Taurus,ENFJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Yes! (you'll be taken to an additional section),6w5 (the Defender),1,4,4,3
8/2/2017 15:54,Pisces,INFJ,Hufflepuff,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),1,5,4,4
8/2/2017 15:56,Virgo,INFP,Ravenclaw,Type 4 (the Individualist or Romantic),Nope (that's fine),,1,3,3,3
8/2/2017 15:57,Pisces,ENFP,Slytherin,Type 2 (the Helper or Giver),Nope (that's fine),,1,1,4,3
8/2/2017 16:08,Leo,INFP,Hufflepuff,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w5 (the Bohemian),2,5,1,4
8/2/2017 16:11,Pisces,INTJ,Gryffindor,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,1,2,4,2
8/2/2017 16:18,Leo,ISTP,Ravenclaw,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w4 (the Iconoclast),1,2,5,5
8/2/2017 16:18,Gemini,INFJ,Ravenclaw,Type 9 (the Peacemaker or Mediator),Yes! (you'll be taken to an additional section),9w1 (the Dreamer),5,3,4,3
8/2/2017 16:36,Libra,INTJ,Ravenclaw,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w4 (the Iconoclast),4,5,4,4
8/2/2017 16:44,Sagittarius,INFP,Ravenclaw,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w1 (the Servant),1,4,4,4
8/2/2017 16:51,Taurus,INFP,Hufflepuff,Type 2 (the Helper or Giver),Nope (that's fine),,1,3,4,2
8/2/2017 16:54,Capricorn,INFP,Slytherin,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w5 (the Bohemian),2,4,4,3
8/2/2017 16:57,Capricorn,ISFJ,Ravenclaw,Type 1 (the Reformer or Perfectionist),Nope (that's fine),,4,5,3,4
8/2/2017 17:08,Cancer,INFJ,Hufflepuff,Type 1 (the Reformer or Perfectionist),Nope (that's fine),,1,4,4,4
8/2/2017 17:10,Aries,INFP,Gryffindor,Type 8 (the Protector or Challenger),Yes! (you'll be taken to an additional section),8w7 (the Independent),3,5,5,5
8/2/2017 17:19,Leo,INTJ,Ravenclaw,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w6 (the Problem-Solver),1,5,2,4
8/2/2017 17:20,Gemini,ISFJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,1,4,5,4
8/2/2017 17:27,Aries,ENFJ,Gryffindor,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),2,4,1,5
8/2/2017 17:47,Pisces,INFJ,Ravenclaw,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,1,4,1,3
8/2/2017 17:51,Capricorn,ISFJ,Ravenclaw,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),1,5,3,3
8/2/2017 18:35,Gemini,INTP,Gryffindor,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,1,4,5,3
8/2/2017 18:43,Virgo,ISFJ,Ravenclaw,Type 4 (the Individualist or Romantic),Nope (that's fine),,3,5,4,3
8/2/2017 19:13,Libra,INFJ,Hufflepuff,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,3,4,4,3
8/2/2017 19:15,Pisces,INTP,Gryffindor,Type 8 (the Protector or Challenger),Nope (that's fine),,2,5,3,4
8/2/2017 19:20,Scorpio,ESFJ,Gryffindor,Type 2 (the Helper or Giver),Nope (that's fine),,2,4,4,4
8/2/2017 19:23,Aries,INFP,Hufflepuff,Type 7 (the Enthusiast or Epicure),Yes! (you'll be taken to an additional section),7w8 (the Realist),3,4,5,4
8/2/2017 19:29,Capricorn,ISFJ,Hufflepuff,Type 2 (the Helper or Giver),Nope (that's fine),,4,4,3,3
8/2/2017 19:34,Capricorn,INFJ,Ravenclaw,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w5 (the Bohemian),3,5,1,4
8/2/2017 19:34,Leo,INFP,Gryffindor,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w5 (the Bohemian),3,4,1,5
8/2/2017 19:37,Gemini,INTP,Ravenclaw,Type 5 (the Investigator or Observer),Yes! (you'll be taken to an additional section),5w6 (the Problem-Solver),3,4,2,5
8/2/2017 19:49,Aquarius,ENFP,Ravenclaw,Type 7 (the Enthusiast or Epicure),Yes! (you'll be taken to an additional section),7w8 (the Realist),1,4,4,4
8/2/2017 19:55,Cancer,ENFJ,Hufflepuff,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),4,4,5,5
8/2/2017 19:59,Aries,INTJ,Ravenclaw,Type 1 (the Reformer or Perfectionist),Nope (that's fine),,3,2,3,2
8/2/2017 20:15,Cancer,INFJ,Hufflepuff,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,4,4,5,4
8/2/2017 20:22,Leo,INFP,Hufflepuff,Type 2 (the Helper or Giver),Nope (that's fine),,1,5,3,4
8/2/2017 20:28,Scorpio,INTJ,Gryffindor,Type 1 (the Reformer or Perfectionist),Nope (that's fine),,3,5,4,3
8/2/2017 20:37,Virgo,INTJ,Ravenclaw,Type 1 (the Reformer or Perfectionist),Nope (that's fine),,3,4,5,3
8/2/2017 20:38,Sagittarius,ESFJ,Hufflepuff,Type 2 (the Helper or Giver),Nope (that's fine),,1,5,3,3
8/2/2017 20:57,Cancer,ESFJ,Ravenclaw,Type 3 (the Performer or Achiever),Yes! (you'll be taken to an additional section),3w2 (the Charmer),5,4,5,4
8/2/2017 21:17,Gemini,ENFP,Hufflepuff,Type 7 (the Enthusiast or Epicure),Yes! (you'll be taken to an additional section),7w6 (the Entertainer),3,4,3,5
8/2/2017 21:18,Aquarius,ENFP,Ravenclaw,Type 2 (the Helper or Giver),Nope (that's fine),,1,4,5,4
8/2/2017 21:26,Pisces,ENFP,Gryffindor,Type 7 (the Enthusiast or Epicure),Yes! (you'll be taken to an additional section),7w8 (the Realist),1,4,5,4
8/2/2017 21:31,Sagittarius,ENTP,Slytherin,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,2,3,2,3
8/2/2017 21:46,Aquarius,INTJ,Gryffindor,Type 8 (the Protector or Challenger),Nope (that's fine),,1,5,1,4
8/2/2017 22:05,Aquarius,INFJ,Slytherin,Type 2 (the Helper or Giver),Nope (that's fine),,2,4,5,5
8/2/2017 22:19,Cancer,ENFJ,Gryffindor,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),,4,4,4,4
8/2/2017 22:40,Aries,ENFP,Ravenclaw,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w3 (the Aristocrat),3,3,2,5
8/2/2017 22:41,Cancer,INTJ,Slytherin,Type 8 (the Protector or Challenger),Nope (that's fine),,1,3,3,5
8/2/2017 22:51,Leo,INFJ,Gryffindor,Type 2 (the Helper or Giver),Nope (that's fine),,5,4,5,4
8/2/2017 23:03,Pisces,INFJ,Ravenclaw,Type 1 (the Reformer or Perfectionist),Yes! (you'll be taken to an additional section),1w2 (the Advocate),2,4,3,5
8/2/2017 23:14,Virgo,INFJ,Ravenclaw,Type 4 (the Individualist or Romantic),Yes! (you'll be taken to an additional section),4w5 (the Bohemian),1,4,4,3
8/2/2017 23:15,Leo,INFJ,Gryffindor,Type 6 (the Loyalist or Loyal Skeptic),Nope (that's fine),,3,4,3,5
8/2/2017 23:41,Capricorn,ISFJ,Gryffindor,Type 2 (the Helper or Giver),Nope (that's fine),,3,4,5,4
8/3/2017 0:04,Gemini,ENFP,Hufflepuff,Type 7 (the Enthusiast or Epicure),Yes! (you'll be taken to an additional section),7w8 (the Realist),4,4,1,4
8/3/2017 1:46,Gemini,INFP,Gryffindor,Type 4 (the Individualist or Romantic),Nope (that's fine),,4,4,4,4
8/3/2017 4:36,Aquarius,ENFJ,Slytherin,Type 2 (the Helper or Giver),Yes! (you'll be taken to an additional section),2w3 (the Host / Hostess),3,4,2,3
8/3/2017 6:04,Aquarius,INFP,Ravenclaw,Type 4 (the Individualist or Romantic),Nope (that's fine),,5,4,5,3
8/3/2017 7:33,Scorpio,INFJ,Ravenclaw,Type 2 (the Helper or Giver),Nope (that's fine),,3,5,5,3
8/3/2017 7:52,Taurus,ESFP,Ravenclaw,Type 9 (the Peacemaker or Mediator),Nope (that's fine),,4,4,2,2
8/3/2017 8:24,Aquarius,ENTP,Hufflepuff,Type 2 (the Helper or Giver),Nope (that's fine),,1,4,5,3
